code_iris,Animation,Commerces et services de proximité,Culture et loisirs,Enseignement,Espaces verts,Santé,Services,Sport,Sécurité,Tourisme,Transports,prix_m2_median,arrondissement
751010101.0,0.2094240837696335,0.046787273861509666,0.14285714285714285,0.14814814814814814,0.0,0.10144927536231883,0.04516129032258064,0.0,0.0,0.09009009009009009,0.011904761904761906,12629.62962962963,1
751010102.0,0.04712041884816754,0.007485963817841547,0.2857142857142857,0.0,0.07142857142857142,0.01932367149758454,0.016129032258064516,0.0,0.5,0.009009009009009009,0.02142857142857143,12629.62962962963,1
751010103.0,0.10471204188481675,0.014971927635683094,0.2857142857142857,0.07407407407407407,0.07142857142857142,0.10628019323671498,0.0,0.0,0.0,0.036036036036036036,0.002380952380952381,12629.62962962963,1
751010104.0,0.07853403141361257,0.011852776044915784,0.42857142857142855,0.037037037037037035,0.0,0.0,0.0,0.0,0.25,0.0,0.03571428571428572,12629.62962962963,1
751010105.0,0.010471204188481676,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071428571428571435,12629.62962962963,1
751010199.0,0.0,0.0018714909544603868,0.0,0.0,0.07142857142857142,0.00966183574879227,0.0,0.0,0.0,0.0,0.08333333333333334,12629.62962962963,1
751010201.0,0.8167539267015708,0.08608858390517779,0.0,0.0,0.0,0.16908212560386474,0.041935483870967745,0.0,0.25,0.12612612612612611,0.011904761904761906,12629.62962962963,1
751010202.0,0.47643979057591623,0.17966313162819714,0.14285714285714285,0.25925925925925924,0.0,0.15942028985507245,0.15806451612903225,0.05,0.0,0.22522522522522523,0.15952380952380954,12629.62962962963,1
751010203.0,0.4554973821989529,0.09295071740486588,0.14285714285714285,0.2222222222222222,0.0,0.32850241545893716,0.11290322580645161,0.0,0.25,0.13513513513513514,0.03571428571428572,12629.62962962963,1
751010204.0,0.418848167539267,0.06425452276980662,0.0,0.037037037037037035,0.0,0.12560386473429952,0.05161290322580645,0.025,0.0,0.018018018018018018,0.009523809523809525,12629.62962962963,1
